customerID,gender,AgeGroup,Partner,CLTV,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,TotalCharges,Contract,Churn Reason,Churn
1985-MBRYP,Female,Middle Age (30–59),False,3678,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,Bank transfer (automatic),43,19.65,779.25,Two year,-,False
9667-EQRXU,Female,Senior (≥ 60),False,3016,False,No phone service,DSL,No,No,Yes,No,Yes,No,True,Electronic check,30,40.3,1172.95,Month-to-month,Don't know,True
4576-CSAJH,Male,Under 30,False,5866,True,No,DSL,No,Yes,No,Yes,No,No,True,Credit card (automatic),22,55.15,1193.05,One year,Competitor made better offer,True
1207-BLKSA,Female,Middle Age (30–59),True,4922,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Mailed check,52,23.05,1255.1,Two year,-,False
5909-ECHUI,Female,Middle Age (30–59),False,3065,True,No,DSL,No,No,No,No,No,Yes,True,Electronic check,1,56.25,56.25,Month-to-month,Lack of affordable download/upload speed,True
2972-YDYUW,Female,Middle Age (30–59),False,4507,True,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,False,Electronic check,57,94.7,5468.95,One year,-,False
6034-ZRYCV,Female,Middle Age (30–59),True,4481,False,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,True,Electronic check,72,54.2,3937.45,Two year,Competitor offered more data,True
9919-YLNNG,Female,Middle Age (30–59),False,4005,True,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,True,Bank transfer (automatic),42,103.8,4327.5,Month-to-month,-,False
5384-ZTTWP,Female,Middle Age (30–59),True,4167,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Mailed check,15,19.8,272.95,Month-to-month,-,False
2250-IVBWA,Male,Middle Age (30–59),True,5168,True,No,Fiber optic,Yes,Yes,No,No,No,No,False,Electronic check,64,81.05,5135.35,Month-to-month,-,False
9978-HYCIN,Male,Senior (≥ 60),True,3384,True,No,Fiber optic,No,Yes,No,No,Yes,No,True,Bank transfer (automatic),47,84.95,4018.05,One year,-,False
6022-KOUQO,Female,Middle Age (30–59),True,4998,False,No phone service,DSL,No,No,No,Yes,No,No,False,Bank transfer (automatic),2,29.05,44.75,Month-to-month,-,False
6380-ARCEH,Male,Under 30,False,2710,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Mailed check,1,20.2,20.2,Month-to-month,-,False
6888-SBYAI,Male,Middle Age (30–59),False,3007,True,No,DSL,Yes,No,No,No,No,No,True,Mailed check,1,50.7,50.7,Month-to-month,-,False
6859-QNXIQ,Female,Middle Age (30–59),True,5308,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,True,Bank transfer (automatic),72,113.1,8248.5,Two year,-,False
4821-SJHJV,Female,Under 30,True,4444,True,Yes,Fiber optic,Yes,No,No,No,Yes,No,False,Electronic check,32,89.6,2901.8,Month-to-month,-,False
0723-DRCLG,Female,Senior (≥ 60),True,2394,True,Yes,Fiber optic,No,No,No,No,No,No,True,Electronic check,1,74.45,74.45,Month-to-month,Don't know,True
4872-JCVCA,Female,Middle Age (30–59),True,4795,False,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,True,Bank transfer (automatic),71,47.6,3377.8,Two year,-,False
7993-NQLJE,Male,Middle Age (30–59),True,4634,True,No,Fiber optic,Yes,No,No,No,No,No,False,Mailed check,15,75.1,1151.55,Month-to-month,-,False
3946-JEWRQ,Male,Under 30,True,4977,True,Yes,Fiber optic,No,No,No,No,Yes,Yes,True,Credit card (automatic),47,95.2,4563.0,One year,-,False
4947-DSMXK,Male,Under 30,True,5789,True,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,True,Bank transfer (automatic),34,97.7,3410.0,Month-to-month,-,False
3804-RVTGV,Male,Middle Age (30–59),True,5812,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,True,Bank transfer (automatic),50,103.85,5017.9,Month-to-month,Price too high,True
0380-ZCSBI,Male,Middle Age (30–59),False,2411,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Credit card (automatic),10,20.0,198.7,Month-to-month,-,False
4145-UQXUQ,Female,Senior (≥ 60),False,5662,True,No,Fiber optic,No,No,Yes,No,Yes,Yes,True,Electronic check,8,92.1,729.95,Month-to-month,Competitor had better devices,True
6082-OQFBA,Male,Middle Age (30–59),True,5460,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Mailed check,23,19.65,436.9,One year,-,False
1475-VWVDO,Male,Middle Age (30–59),False,5335,True,No,Fiber optic,No,No,Yes,No,No,No,True,Electronic check,7,74.9,490.55,Month-to-month,-,False
5016-IBERQ,Male,Under 30,True,2781,True,Yes,Fiber optic,No,Yes,Yes,No,No,No,False,Electronic check,23,84.25,1968.1,Month-to-month,-,False
3569-JFODW,Female,Under 30,True,5096,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,False,Credit card (automatic),72,90.95,6652.45,Two year,-,False
7927-AUXBZ,Female,Middle Age (30–59),False,4417,True,No,Fiber optic,No,No,No,Yes,Yes,No,False,Electronic check,30,85.15,2555.9,Month-to-month,Attitude of support person,True
4023-RTIQM,Female,Senior (≥ 60),True,2166,False,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,True,Credit card (automatic),31,50.4,1580.1,One year,-,False
5760-IFJOZ,Male,Middle Age (30–59),False,3449,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,False,Mailed check,3,107.95,313.6,Month-to-month,-,False
0516-QREYC,Female,Senior (≥ 60),False,3740,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,Mailed check,24,20.3,459.95,Month-to-month,-,False
3658-QQJYD,Male,Middle Age (30–59),False,5974,True,No,DSL,Yes,Yes,No,No,Yes,Yes,True,Credit card (automatic),62,74.3,4698.05,One year,-,False
0117-LFRMW,Male,Middle Age (30–59),True,3627,False,No phone service,DSL,Yes,Yes,Yes,No,No,No,False,Bank transfer (automatic),37,40.2,1448.8,Month-to-month,Competitor offered more data,True
3970-XGJDU,Female,Middle Age (30–59),False,4937,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,Credit card (automatic),62,19.2,1123.65,Two year,-,False
5108-ADXWO,Male,Middle Age (30–59),False,4509,True,No,Fiber optic,Yes,No,No,No,No,No,True,Electronic check,11,73.5,791.75,Month-to-month,Competitor made better offer,True
4439-YRNVD,Female,Middle Age (30–59),False,4571,False,No phone service,DSL,No,Yes,No,Yes,No,No,False,Electronic check,10,36.25,374.0,Month-to-month,-,False
0402-CQAJN,Female,Under 30,False,4437,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,True,Bank transfer (automatic),37,101.9,3545.35,Month-to-month,Lack of self-service on Website,True
5334-AFQJB,Male,Senior (≥ 60),False,5751,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,Credit card (automatic),72,25.1,1789.9,Two year,-,False
2916-BQZLN,Male,Under 30,False,5157,True,Yes,Fiber optic,Yes,No,Yes,No,No,No,True,Electronic check,19,84.75,1651.95,Month-to-month,-,False
4588-YBNIB,Female,Under 30,False,4205,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,Mailed check,1,19.6,19.6,Month-to-month,Price too high,True
2474-LCNUE,Female,Under 30,True,2590,True,Yes,DSL,No,No,No,Yes,Yes,Yes,True,Credit card (automatic),23,73.65,1642.75,Month-to-month,-,False
9360-AHGNL,Female,Senior (≥ 60),True,5863,True,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,True,Mailed check,43,109.55,4830.25,One year,Limited range of services,True
2379-GYFLQ,Male,Middle Age (30–59),False,5316,True,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,True,Credit card (automatic),46,94.9,4422.95,One year,-,False
8735-NBLWT,Male,Middle Age (30–59),False,4195,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Mailed check,9,20.4,184.1,Month-to-month,-,False
1089-XZWHH,Female,Middle Age (30–59),True,3594,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,Mailed check,24,19.7,494.05,Two year,-,False
2754-SDJRD,Female,Senior (≥ 60),False,5157,True,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,True,Credit card (automatic),8,100.15,908.55,Month-to-month,-,False
8734-DKSTZ,Female,Under 30,True,4922,True,Yes,Fiber optic,No,No,No,No,No,Yes,False,Electronic check,10,85.95,858.6,Month-to-month,-,False
5846-NEQVZ,Male,Under 30,True,5328,True,No,DSL,Yes,No,Yes,Yes,No,Yes,True,Credit card (automatic),71,70.85,4973.4,Two year,-,False
6637-KYRCV,Female,Under 30,True,5973,False,No phone service,DSL,No,Yes,No,No,No,No,True,Electronic check,5,30.5,167.2,Month-to-month,-,False
2479-BRAMR,Male,Senior (≥ 60),True,4995,True,Yes,Fiber optic,Yes,No,Yes,No,No,No,True,Bank transfer (automatic),41,83.75,3273.55,Month-to-month,Competitor offered more data,True
7162-WPHPM,Male,Middle Age (30–59),True,4747,True,Yes,DSL,Yes,Yes,Yes,Yes,No,No,False,Credit card (automatic),58,71.6,4230.25,Two year,-,False
2988-PLAHS,Female,Middle Age (30–59),False,2754,True,No,DSL,No,No,Yes,No,Yes,Yes,True,Electronic check,3,69.95,220.45,One year,-,False
2626-VEEWG,Male,Middle Age (30–59),True,4890,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,Credit card (automatic),67,19.4,1284.2,Two year,-,False
6549-NNDYT,Female,Middle Age (30–59),False,2444,False,No phone service,DSL,Yes,No,No,No,No,No,True,Bank transfer (automatic),13,30.85,394.1,Month-to-month,-,False
6469-MRVET,Male,Middle Age (30–59),True,4160,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,Electronic check,1,20.2,20.2,One year,-,False
9028-LIHRP,Male,Under 30,True,5502,True,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,False,Credit card (automatic),71,100.2,7209.0,Two year,-,False
5515-RUGKN,Male,Middle Age (30–59),False,5317,True,No,DSL,No,No,No,No,No,Yes,True,Credit card (automatic),8,54.75,438.05,Month-to-month,-,False
3736-BLEPA,Male,Middle Age (30–59),False,2886,True,No,Fiber optic,No,Yes,No,Yes,Yes,No,True,Bank transfer (automatic),28,91.25,2483.65,One year,-,False
7161-DFHUF,Female,Middle Age (30–59),True,6166,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Mailed check,71,23.85,1672.1,Two year,-,False
8199-ZLLSA,Male,Middle Age (30–59),False,6255,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,True,Bank transfer (automatic),67,118.35,7804.15,One year,Competitor had better devices,True
1187-WILMM,Male,Middle Age (30–59),True,5004,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,True,Credit card (automatic),63,89.4,5597.65,Two year,-,False
7563-BIUPC,Male,Middle Age (30–59),False,5715,True,No,Fiber optic,No,No,No,No,Yes,No,True,Electronic check,5,80.6,415.55,Month-to-month,Competitor made better offer,True
3714-XPXBW,Female,Middle Age (30–59),False,3801,True,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,True,Credit card (automatic),37,78.9,2976.95,Month-to-month,-,False
7409-JURKQ,Female,Under 30,True,5713,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,True,Bank transfer (automatic),53,111.8,5809.75,One year,-,False
3945-GFWQL,Female,Middle Age (30–59),False,4162,True,No,DSL,No,No,No,No,No,No,True,Electronic check,12,44.55,480.6,Month-to-month,Extra data charges,True
7706-YLMQA,Female,Middle Age (30–59),False,6072,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Bank transfer (automatic),70,19.7,1341.5,One year,-,False
0404-SWRVG,Male,Under 30,False,4415,True,Yes,Fiber optic,No,No,No,No,No,No,True,Electronic check,3,74.4,229.55,Month-to-month,Product dissatisfaction,True
4559-UWIHT,Male,Middle Age (30–59),True,4965,True,Yes,Fiber optic,No,Yes,Yes,No,No,No,True,Electronic check,14,82.65,1185.0,Month-to-month,-,False
4825-XJGDM,Female,Middle Age (30–59),False,4051,False,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,False,Credit card (automatic),61,43.7,2696.55,One year,-,False
7228-OMTPN,Male,Middle Age (30–59),False,2456,True,No,Fiber optic,No,No,No,No,Yes,Yes,True,Electronic check,4,88.45,370.65,Month-to-month,Don't know,True
5797-APWZC,Female,Middle Age (30–59),False,2540,True,No,Fiber optic,No,No,No,No,Yes,Yes,False,Electronic check,1,90.6,90.6,Month-to-month,Competitor offered higher download speeds,True
5143-EGQFK,Female,Senior (≥ 60),False,5702,False,No phone service,DSL,No,No,No,Yes,No,No,True,Electronic check,10,29.65,291.4,Month-to-month,Don't know,True
0396-UKGAI,Male,Under 30,False,4028,True,No,DSL,No,Yes,No,Yes,No,No,True,Bank transfer (automatic),23,55.3,1284.2,Month-to-month,-,False
9392-XBGTD,Male,Middle Age (30–59),False,2924,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Mailed check,27,20.6,581.85,Two year,-,False
8336-TAVKX,Female,Senior (≥ 60),True,4032,True,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,False,Bank transfer (automatic),72,78.45,5682.25,Two year,-,False
0277-ORXQS,Male,Middle Age (30–59),True,4652,False,No phone service,DSL,No,No,No,Yes,Yes,Yes,False,Bank transfer (automatic),66,50.55,3364.55,Two year,-,False
3174-RKMOW,Male,Under 30,True,5721,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,True,Electronic check,35,109.95,3782.4,Month-to-month,-,False
7065-YUNRY,Female,Under 30,False,3049,True,No,DSL,No,No,No,No,No,No,True,Mailed check,1,45.3,45.3,Month-to-month,Competitor made better offer,True
8224-DWCKX,Male,Senior (≥ 60),False,5159,True,Yes,Fiber optic,No,No,No,No,No,No,True,Credit card (automatic),12,73.3,828.05,Month-to-month,-,False
4524-QCSSM,Male,Middle Age (30–59),False,4512,False,No phone service,DSL,Yes,Yes,No,No,No,Yes,True,Bank transfer (automatic),26,44.65,1156.55,Month-to-month,-,False
6133-OZILE,Female,Middle Age (30–59),False,5381,False,No phone service,DSL,No,No,Yes,Yes,No,No,True,Electronic check,18,35.2,607.3,Month-to-month,-,False
3082-VQXNH,Male,Middle Age (30–59),True,5614,False,No phone service,DSL,No,Yes,No,No,No,No,False,Credit card (automatic),3,29.8,94.4,Month-to-month,-,False
0052-YNYOT,Female,Under 30,False,5462,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Electronic check,67,20.55,1343.4,One year,-,False
0064-SUDOG,Female,Middle Age (30–59),True,5190,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Bank transfer (automatic),12,20.3,224.5,Two year,-,False
5307-DZCVC,Female,Senior (≥ 60),True,2431,True,Yes,Fiber optic,No,No,No,No,Yes,No,True,Credit card (automatic),32,85.95,2628.6,Month-to-month,Extra data charges,True
2642-DTVCO,Male,Senior (≥ 60),False,5095,True,Yes,Fiber optic,No,No,No,No,No,Yes,True,Electronic check,9,85.05,746.5,Month-to-month,Attitude of service provider,True
1309-XGFSN,Male,Senior (≥ 60),True,6090,True,Yes,DSL,No,Yes,Yes,No,Yes,Yes,True,Electronic check,52,80.85,4079.55,One year,-,False
4359-INNWN,Female,Middle Age (30–59),False,4828,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Credit card (automatic),17,20.05,337.9,One year,-,False
7136-RVDTZ,Male,Senior (≥ 60),False,5824,False,No phone service,DSL,No,No,No,No,Yes,Yes,True,Electronic check,70,45.25,3264.45,One year,Attitude of service provider,True
5433-KYGHE,Female,Middle Age (30–59),False,5494,True,Yes,Fiber optic,Yes,No,No,Yes,No,No,True,Mailed check,14,86.0,1164.05,Month-to-month,-,False
1402-PTHGN,Female,Under 30,True,3479,True,No,DSL,Yes,Yes,No,Yes,No,No,True,Mailed check,18,61.5,1087.45,One year,-,False
5862-BRIXZ,Male,Middle Age (30–59),False,2694,False,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,True,Bank transfer (automatic),46,60.75,2893.4,Two year,-,False
0011-IGKFF,Male,Senior (≥ 60),True,3714,True,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,True,Electronic check,13,98.0,1237.85,Month-to-month,Product dissatisfaction,True
8456-QDAVC,Male,Middle Age (30–59),False,2464,True,No,Fiber optic,No,No,No,No,Yes,No,True,Bank transfer (automatic),19,78.7,1495.1,Month-to-month,-,False
2710-WYVXG,Female,Middle Age (30–59),False,3501,True,No,DSL,Yes,Yes,No,Yes,No,Yes,False,Mailed check,3,71.1,213.35,Two year,-,False
2236-HILPA,Male,Middle Age (30–59),True,6403,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Credit card (automatic),62,20.65,1218.45,Two year,-,False
2384-OVPSA,Female,Senior (≥ 60),False,4947,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Mailed check,38,20.2,735.9,Two year,-,False
4541-RMRLG,Male,Middle Age (30–59),False,4489,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Electronic check,7,19.25,112.3,Month-to-month,Attitude of support person,True
6416-JNVRK,Female,Middle Age (30–59),False,2867,True,No,DSL,No,No,No,No,No,Yes,False,Credit card (automatic),46,55.65,2688.85,One year,-,False
6178-KFNHS,Female,Middle Age (30–59),False,3545,True,Yes,Fiber optic,Yes,No,No,No,No,No,True,Electronic check,12,78.3,909.25,Month-to-month,Competitor offered higher download speeds,True
3146-JTQHR,Male,Under 30,True,3778,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Bank transfer (automatic),10,19.6,189.45,One year,-,False
6339-YPSAH,Male,Middle Age (30–59),False,4895,True,No,Fiber optic,No,No,Yes,No,No,No,True,Electronic check,9,73.8,704.3,Month-to-month,-,False
9828-QHFBK,Male,Middle Age (30–59),False,5796,True,No,DSL,Yes,No,No,No,No,No,True,Electronic check,24,51.15,1275.7,Month-to-month,-,False
6892-EZDTG,Female,Middle Age (30–59),True,2140,True,Yes,Fiber optic,No,Yes,No,No,Yes,No,True,Electronic check,4,91.65,365.4,Month-to-month,Extra data charges,True
0239-OXEXL,Female,Middle Age (30–59),False,3509,True,Yes,Fiber optic,Yes,Yes,No,No,No,No,False,Mailed check,46,84.25,3847.6,Month-to-month,-,False
0248-PGHBZ,Female,Senior (≥ 60),False,5857,True,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,True,Bank transfer (automatic),67,92.45,6140.85,Two year,-,False
8198-RKSZG,Female,Middle Age (30–59),True,5772,True,Yes,DSL,No,Yes,No,Yes,Yes,Yes,False,Credit card (automatic),14,80.45,1137.05,Month-to-month,-,False
1051-EQPZR,Female,Under 30,True,5584,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Mailed check,44,19.6,780.25,Month-to-month,-,False
1991-VOPLL,Female,Middle Age (30–59),False,3248,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Mailed check,9,19.05,157.65,Month-to-month,-,False
2004-OCQXK,Female,Middle Age (30–59),False,5622,True,No,Fiber optic,No,No,No,No,No,Yes,True,Electronic check,1,81.95,81.95,Month-to-month,Competitor had better devices,True
0103-CSITQ,Female,Under 30,True,6026,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,True,Bank transfer (automatic),57,109.4,6252.7,One year,-,False
1000-AJSLD,Male,Under 30,False,4389,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,Mailed check,1,20.1,20.1,Month-to-month,Competitor made better offer,True
0136-IFMYD,Male,Senior (≥ 60),True,4297,True,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,True,Electronic check,69,109.95,7634.25,Two year,-,False
1163-VIPRI,Female,Under 30,True,6087,True,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,False,Electronic check,65,109.3,7337.55,Two year,-,False
1455-HFBXA,Male,Middle Age (30–59),True,6069,True,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,True,Credit card (automatic),52,91.6,4627.8,Two year,-,False
5712-VBOXD,Female,Middle Age (30–59),False,5221,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,Credit card (automatic),4,20.15,68.45,Month-to-month,-,False
8992-CEUEN,Female,Middle Age (30–59),False,5084,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Electronic check,1,18.85,18.85,Month-to-month,-,False
7359-PTSXY,Male,Middle Age (30–59),False,3531,True,No,DSL,No,No,No,No,No,No,False,Electronic check,1,45.75,45.75,Month-to-month,Attitude of support person,True
0742-LAFQK,Male,Middle Age (30–59),True,5152,True,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,True,Electronic check,72,99.15,7422.1,Two year,-,False
4598-ZADCK,Female,Middle Age (30–59),False,5183,False,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,True,Electronic check,53,53.6,2879.2,One year,-,False
5115-GZDEL,Male,Under 30,False,5592,False,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,False,Credit card (automatic),72,67.2,4671.7,Two year,-,False
7538-GWHML,Female,Middle Age (30–59),False,2323,True,No,Fiber optic,No,No,No,No,No,No,False,Electronic check,2,69.65,145.15,Month-to-month,Competitor made better offer,True
3258-SYSWS,Male,Senior (≥ 60),False,4598,True,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,False,Bank transfer (automatic),72,113.8,7845.8,Two year,-,False
3165-HDOEW,Male,Middle Age (30–59),True,3706,True,No,DSL,No,No,No,No,No,No,True,Mailed check,1,45.85,45.85,Month-to-month,Don't know,True
3967-VQOGC,Female,Middle Age (30–59),True,5847,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,True,Mailed check,67,24.9,1680.25,Two year,-,False
1133-KXCGE,Female,Middle Age (30–59),False,2910,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Mailed check,18,20.1,407.05,One year,-,False
5804-LEPIM,Female,Senior (≥ 60),False,2671,True,No,Fiber optic,No,No,No,No,No,No,True,Electronic check,2,70.35,139.05,Month-to-month,Don't know,True
9033-EOXWV,Female,Middle Age (30–59),False,4149,True,Yes,DSL,No,No,No,Yes,Yes,Yes,False,Mailed check,12,74.05,872.65,One year,Don't know,True
4615-PIVVU,Female,Middle Age (30–59),False,4668,True,No,DSL,No,No,Yes,Yes,No,Yes,False,Credit card (automatic),42,66.5,2762.75,Two year,-,False
6302-JGYRJ,Male,Middle Age (30–59),False,2872,True,Yes,DSL,No,Yes,No,Yes,Yes,Yes,True,Mailed check,31,79.45,2587.7,One year,Product dissatisfaction,True
1122-YJBCS,Male,Middle Age (30–59),True,6092,True,No,DSL,Yes,Yes,No,No,No,No,True,Credit card (automatic),69,53.65,3804.4,One year,-,False
6736-DHUQI,Female,Middle Age (30–59),True,6072,True,No,Fiber optic,Yes,Yes,Yes,No,No,No,False,Bank transfer (automatic),67,84.8,5598.3,One year,-,False
6582-PLFUU,Male,Middle Age (30–59),True,5974,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Credit card (automatic),51,19.55,1086.75,Two year,-,False
2662-NNTDK,Male,Middle Age (30–59),False,5826,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Credit card (automatic),65,24.8,1600.95,One year,-,False
7407-SUJIZ,Male,Middle Age (30–59),False,2305,True,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Mailed check,25,20.6,541.5,Month-to-month,-,False
0348-SDKOL,Female,Middle Age (30–59),True,4415,True,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,True,Credit card (automatic),58,102.1,5885.4,Month-to-month,Competitor made better offer,True
5732-IKGQH,Male,Senior (≥ 60),True,5490,True,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,True,Bank transfer (automatic),52,104.45,5481.25,One year,-,False
4360-QRAVE,Male,Senior (≥ 60),False,2494,False,No phone service,DSL,No,Yes,Yes,No,No,No,False,Electronic check,37,36.65,1315.0,Month-to-month,-,False
7356-AYNJP,Female,Middle Age (30–59),False,5685,True,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,False,Electronic check,4,23.9,97.5,One year,-,False
0929-PECLO,Female,Senior (≥ 60),False,4438,True,Yes,Fiber optic,No,No,Yes,No,No,Yes,True,Bank transfer (automatic),63,89.6,5538.8,Month-to-month,-,False
3927-NLNRY,Male,Middle Age (30–59),True,5414,True,No,Fiber optic,No,Yes,No,No,Yes,Yes,True,Bank transfer (automatic),53,94.25,4867.95,One year,Moved,True
